Position,Track Name,Artist,Streams,URL,Date
1,Catriona,Matthaios,272113,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,2020-02-01
2,Make It With You,Ben&Ben,265661,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-02-01
3,Yummy,Justin Bieber,259108,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-02-01
4,Imahe,Magnus Haven,253108,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-02-01
5,Memories,Maroon 5,224206,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-02-01
6,Pagtingin,Ben&Ben,216591,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2020-02-01
7,ROXANNE,Arizona Zervas,197711,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-02-01
8,"10,000 Hours (with Justin Bieber)",Dan + Shay,190337,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-02-01
9,Vibe With Me,Matthaios,172702,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui,2020-02-01
10,Hindi Tayo Pwede,The Juans,170912,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2020-02-01
11,I Want You Back,Matthaios,167698,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI,2020-02-01
12,Someone You Loved,Lewis Capaldi,165617,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-02-01
13,Don't Start Now,Dua Lipa,162146,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-02-01
14,Mean It,Lauv,161058,https://open.spotify.com/track/2uiOyiRxtNix52dpeaDQPM,2020-02-01
15,Masyado Pang Maaga,Ben&Ben,154383,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2020-02-01
16,Binalewala - Original Version,Michael Dutchi Libranda,142310,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6,2020-02-01
17,Zebbiana,Skusta Clee,142191,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2020-02-01
18,Circles,Post Malone,136432,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-02-01
19,Tala,Sarah Geronimo,134296,https://open.spotify.com/track/4T7CM071eEoHudiDShZlCJ,2020-02-01
20,Ivana,Soulstice,132806,https://open.spotify.com/track/5bSvsXRBUjGe8pGScU0hPz,2020-02-01
21,Sa Susunod Na Lang,PDL,131226,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2020-02-01
22,Kathang Isip,Ben&Ben,130098,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2020-02-01
23,Neneng B,Nik Makino,128354,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg,2020-02-01
24,Falling,Trevor Daniel,124720,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-02-01
25,Beautiful People (feat. Khalid),Ed Sheeran,119499,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2020-02-01
26,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,113449,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2020-02-01
27,comethru,Jeremy Zucker,113352,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2020-02-01
28,Dance Monkey,Tones And I,113273,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-02-01
29,It's You,Ali Gatie,112869,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2020-02-01
30,Maybe The Night,Ben&Ben,110393,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2020-02-01
31,Get You The Moon (feat. Snøw),Kina,109584,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2020-02-01
32,Ayy Macarena,Tyga,108118,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2020-02-01
