Position,Track Name,Artist,Streams,URL,Date
1,Memories,Maroon 5,398629,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-11-01
2,Masyado Pang Maaga,Ben&Ben,280278,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2019-11-01
3,Pagtingin,Ben&Ben,263189,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-11-01
4,Zebbiana,Skusta Clee,245835,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2019-11-01
5,"10,000 Hours (with Justin Bieber)",Dan + Shay,215522,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-11-01
6,Sa Susunod Na Lang,PDL,165734,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-11-01
7,Hindi Tayo Pwede,The Juans,165184,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2019-11-01
8,Circles,Post Malone,158713,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-11-01
9,Señorita,Shawn Mendes,152657,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-11-01
10,Ikaw At Ako,Moira Dela Torre,152541,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-11-01
11,Lose You To Love Me,Selena Gomez,151671,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-01
12,comethru,Jeremy Zucker,149039,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-11-01
13,Neneng B,Nik Makino,148904,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg,2019-11-01
14,Mabagal,Daniel Padilla,144874,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH,2019-11-01
15,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,139091,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-11-01
16,Kung 'Di Rin Lang Ikaw,December Avenue,136928,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-11-01
17,Beautiful People (feat. Khalid),Ed Sheeran,136635,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-11-01
18,Kathang Isip,Ben&Ben,129287,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-11-01
19,Binalewala - Original Version,Michael Dutchi Libranda,126380,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6,2019-11-01
20,I.F.L.Y.,Bazzi,122363,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-11-01
21,Sanctuary,Joji,118535,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019-11-01
22,It's You,Ali Gatie,116270,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,2019-11-01
23,Someone You Loved,Lewis Capaldi,115097,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-11-01
24,Dahan,December Avenue,107951,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-11-01
25,Nobody Knows,Russ,105341,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-11-01
26,How Do You Sleep?,Sam Smith,105144,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-11-01
27,Feelings,Lauv,101631,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ,2019-11-01
28,Dalaga,Arvey,99137,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr,2019-11-01
29,Hindi Na Nga,This Band,99070,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-11-01
30,Maybe The Night,Ben&Ben,98394,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-11-01
31,I Don't Care (with Justin Bieber),Ed Sheeran,97083,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-11-01
32,Sana,I Belong to the Zoo,94421,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-11-01
33,Goodbyes (Feat. Young Thug),Post Malone,92620,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-11-01
34,Make It Right (feat. Lauv),BTS,92580,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH,2019-11-01
35,Bagay Tayo,ALLMO$T,92302,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-11-01
36,"Patawad, Paalam",Moira Dela Torre,86894,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc,2019-11-01
37,Sa Ngalan Ng Pag-Ibig,December Avenue,86257,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019-11-01
38,'Di Na Babalik,This Band,86108,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2019-11-01
39,"fuck, i'm lonely",Lauv,86026,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-11-01
40,Balang Araw,I Belong to the Zoo,85150,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-11-01
41,Lover,Taylor Swift,84087,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2019-11-01
42,Araw-Araw,Ben&Ben,83062,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm,2019-11-01
43,Get You The Moon (feat. Snøw),Kina,82250,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019-11-01
44,Paalam,Moira Dela Torre,81308,https://open.spotify.com/track/22AZDYG6qrjMFg0ceeL9X6,2019-11-01
45,Could I Love You Any More (feat. Jason Mraz),Reneé Dominique,80096,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8,2019-11-01
46,Kahit Ayaw Mo Na,This Band,71663,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-11-01
47,Don't Start Now,Dua Lipa,68888,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-11-01
48,Missin You Crazy,Russ,67008,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr,2019-11-01
49,Leaves,Ben&Ben,64170,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2019-11-01
50,Dance Monkey,Tones And I,63785,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-11-01
51,Nang Iwan,This Band,63416,https://open.spotify.com/track/7Livy729zY16jBsppfYLRW,2019-11-01
52,Lights Up,Harry Styles,63310,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63,2019-11-01
53,Never Really Over,Katy Perry,62245,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-11-01
54,Feel Special,TWICE,60120,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj,2019-11-01
55,Look At Her Now,Selena Gomez,59973,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,2019-11-01
56,Imahe,Magnus Haven,58621,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2019-11-01
57,Mundo,IV Of Spades,56177,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2019-11-01
58,Trampoline (with ZAYN),SHAED,55065,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k,2019-11-01
59,Bulong,December Avenue,54518,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019-11-01
60,Pauwi Nako,PDL,54392,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr,2019-11-01
61,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,54067,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-11-01
62,I Like Me Better,Lauv,53422,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-11-01
63,Dahilan,Silent Sanctuary,52954,https://open.spotify.com/track/2Gt5SmbyQjcjEqMOdEd3QE,2019-11-01
64,Nobela,Join The Club,51991,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC,2019-11-01
65,Wrong,Luh Kel,51785,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg,2019-11-01
66,hot girl bummer,blackbear,49636,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019-11-01
67,Malibu Nights,LANY,49245,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2019-11-01
68,Buwan,juan karlos,49175,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2019-11-01
69,Miracle Nights,ALLMO$T,48301,https://open.spotify.com/track/3sWLOFGI7dNN6YBM1m1RKB,2019-11-01
70,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,48254,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh,2019-11-01
71,2002,Anne-Marie,48188,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-11-01
72,Follow God,Kanye West,48123,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,2019-11-01
73,HIGHEST IN THE ROOM,Travis Scott,48022,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-11-01
74,Karera,TJ Monterde,47551,https://open.spotify.com/track/7HthZga17TghgUiJxa2oiR,2019-11-01
75,Boy With Luv (feat. Halsey),BTS,47052,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-11-01
76,What Am I,Why Don't We,46035,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G,2019-11-01
77,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,45593,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,2019-11-01
78,Walwal,VVS Collective,45404,https://open.spotify.com/track/1k2sk3NuZxy06Os3KTAnA2,2019-11-01
79,Tagpuan,Moira Dela Torre,44423,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2019-11-01
80,Can We Kiss Forever?,Kina,44173,https://open.spotify.com/track/1Av69kr9JitqPWo7WJLS5q,2019-11-01
81,Say You Won't Let Go,James Arthur,44001,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-11-01
82,Kahit Di Mo Alam,December Avenue,42784,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC,2019-11-01
